"编号","开始答题时间","结束答题时间","答题时长","1.输入您的被试编号","2.请按整体体验从好到差排序刚刚体验的所有加载方式:A（黑屏加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:A+（黑屏加载+图片+进度条）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:B（悬浮卡片加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:C（渐进可用加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:C-（渐进加载但无进度条）","3.如果你在真实线上虚拟展厅中浏览展品，你最希望使用哪一种加载方式？","4.为什么？（请简单说明你最希望使用该加载方式的原因）","5.请简单说明你最不喜欢的一种加载方式，以及原因。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"24","13-Jun-2026 14:43:00","13-Jun-2026 14:45:25","145","A026","5","1","2","3","4","2","A+：可以一直看到进度条，有图片不会很无聊；","A：感觉不知道啥时候加载完成，有时候没有耐心等不下去；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"23","13-Jun-2026 13:03:59","13-Jun-2026 13:08:36","277","A025","5","3","1","2","4","3","B: 虚拟展厅中在加载过程中我没有被束缚的感觉，加载过程允许我自由移动和观察别处让我觉得很自由且能够不耽误更多时间的设计，我更偏向B，","A: 给我一种不安的感觉，怀疑是电脑卡住了，线上比较害怕这种情况出现，给我一种掉线的恐惧感。","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"22","13-Jun-2026 12:28:34","13-Jun-2026 12:32:45","251","A024","4","2","5","1","3","4","C：因为进度条可以看到加载进度，可以清晰了解加载进度；","B:突然出现让我很突兀，也不知道具体的加载进度；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"21","13-Jun-2026 11:15:14","13-Jun-2026 11:44:14","1740","A023","5","4","2","1","3","4","C：感觉慢慢加载的过程挺好的，画面也不会完全跳出来，不会太突然，","A：转圈圈看起来非常漫长，感觉时间过了很久","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"20","13-Jun-2026 10:49:37","13-Jun-2026 11:11:59","1342","A022","5","2","1","3","4","3","B：这种方式让我更有线上的感觉，其他的感觉像是在APP/本地三维应用的感觉，没有3D沉浸感；","A: 因为黑屏转圈让我对于什么时候加载完毕非常没有掌控感，也没有提醒进度，也不知道啥时候出来，让我有些失去耐心，甚至我原本以为转圈完毕后会自动进入查看器，但是展品出现在站台上，我还需要再次点击进入，打断了我的沉浸感；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"19","13-Jun-2026 10:15:25","13-Jun-2026 10:35:27","1202","A021","5","2","3","1","4","2","A+：有一个能知道现在的加载情况，有一个大概的意识让用户知道何时加载完毕。（限定展厅场景）

C: 慢慢加载出来可以感觉到展品的变化，体验完加载过程给人一种惊喜的感觉","A 给人一种不知道下一步该做什么，也不知道何时加载完毕，等待时间让人感到不耐烦；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"18","12-Jun-2026 20:42:45","12-Jun-2026 20:47:12","267","A019","5","2","1","3","4","3","我觉得卡片中的图片和进度条可以让我直观了解展品的外观，从交互逻辑上看更舒服一些","黑屏转圈，因为像是卡住了，视觉上看起来以为是系统出问题，第一感觉不太舒服；","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"17","12-Jun-2026 20:05:20","12-Jun-2026 20:09:16","236","A017","5","2","4","3","1","5","渐进出现比较自然，有进度条的感觉反而怪怪的，这个看起来比较自然，看着他从轮廓变清晰，还会有期待看到表面的具体纹路；前提是知道系统正在加载而不是出bug了。","A/B都不太喜欢
A：加载太久了，看不到进度
B：太突兀了，和周围的环境融入不进去，看着有点怪，出现太突然。","简体中文","未清洗","","中国","广东省","广州市","","58.***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"16","12-Jun-2026 17:59:43","12-Jun-2026 18:31:59","1936","A016","5","4","3","1","2","4","慢慢出现更震撼，更清晰，可以查看细节，不喜欢一下子跳出来","A黑屏，感觉好像卡死了bug一样，感觉是没东西，让我感觉没变化","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"15","12-Jun-2026 17:26:40","12-Jun-2026 17:56:49","1809","A018","5","4","3","1","2","4","比较好玩，没那么无聊，可以打发时间，类似打游戏可以等待时候查看模型","转圈圈，简直就是在挑衅我，感觉很枯燥而且不知道要等多久，浪费时间且无趣","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"14","12-Jun-2026 17:20:37","12-Jun-2026 17:23:48","191","A015","5","4","2","1","3","4","呃，因为这种加载感觉到他是可控的，并不是在不可控制的范围之内。我认为他很快就要好了，我想看到他最好的样子是什么引起我的好奇心。","因为黑屏的话我感觉他时间会很长，他是突然出来了，感觉到并不是很稀奇，就是将我的那种兴趣打断。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"13","12-Jun-2026 16:50:15","12-Jun-2026 16:53:10","175","A014","5","4","1","2","3","3","等待的时候不会特别无聊，可以提前看到展品的图片和情况","黑屏加载，因为看起来像是卡住了BUG不知道是不是真的在等待；

*前两题（做的都挺好的，都挺令人愉悦的）","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"12","12-Jun-2026 16:17:37","12-Jun-2026 16:22:27","290","A013","4","1","2","3","5","4","逐渐出现清晰的展品画面对我来说比较有趣，并且作为线上展厅，具备进度条组件比较能让更多人安心可控。
由于环境限制希望是C，如果是其他3D场景偏向A+","c-最不喜欢，对于第一次使用的人来说有些莫名其妙，没有任何提示。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"11","12-Jun-2026 15:35:12","12-Jun-2026 15:38:46","214","A012","5","1","2","4","3","2","因为能直观看到进度","黑屏转圈 无法直观看到加载进度 也看不到图片


*","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"10","12-Jun-2026 15:04:32","12-Jun-2026 15:07:43","191","A011","5","3","1","2","4","3","很有意思，提前看到一个很大的图片先看到展品，冲击力很强，一下子突然很大很有趣","黑屏转圈，太无聊了，而且很烦","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"9","12-Jun-2026 14:31:23","12-Jun-2026 14:34:00","157","A009","5","2","3","1","4","4","这个给我的感觉他最快等着补录，时间不用久。不是，不是很久。","黑屏旋转那个让我等的时间我感觉特别紧。给我的感觉是。体感速度很慢，降低看展兴趣，不一样，就不想看这个产品。","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"8","12-Jun-2026 13:21:17","12-Jun-2026 13:42:05","1248","A007","5","1","2","4","3","2","喂喂喂。啊，你说就简单说一下就行。呃，我能看到那个图片而且我能知道他的家族进度。","黑屏转圈 - 我完全看不到我。我想知道的东西，而且我不知道他的家的进度。价格高了，我是完全是一个未知的状态。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"7","12-Jun-2026 11:22:59","12-Jun-2026 12:00:38","2259","A006","5","2","4","1","3","4","喂喂喂。好，你说一下，我觉得他从第一第一的那个面数到到整个完整显示出来的方式还挺有意思的。然后像感觉最好的那个呢，它就是虽然有一点点加载的时间，但是你觉得它这个过程是有趣的。","黑屏转圈加载。这个我感觉就是，反正就体感上就觉得加载了很久的感觉，然后而且你也不能退出之类的。然后呃，我可以讲一个别的懂点就是悬浮的那个的话，就你还觉得就算他加载到那边，然后你你可以不看他就是你可以转到另外一边可以去不去看吗？只是稍微自由一点。但这个的话它就是，呃，只能有一直在黑屏的页面，然后又感觉上加载很长，","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"6","12-Jun-2026 11:15:50","12-Jun-2026 11:20:33","283","A005","1","5","2","4","3","1","黑屏加载让我没有等待的感觉，","不喜欢京都条，给我一种时刻要关注时间的感觉等待，而且她跑得很慢让我感觉有些不适感不愉快，图片让我不喜欢，因为静态图很没有新鲜感，可能悬浮卡片让我有新鲜感和注意力，静态图片凸显进度条的五区感","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"5","12-Jun-2026 10:48:58","12-Jun-2026 10:52:58","240","A004","5","1","3","4","2","2","呃，你可以说就是关。可以。知道你要。看什么东西有一个心理预期，然后在等待的时间，你不会说不知道要看什么或者干什么。嗯。同时你可以看一眼下面的进度条。江清溪，你还要等多久？","最不喜欢的好像是。点。交互以及之后一个黑屏的旋转加载，因为。会让我感觉可能是机子性能或者系统。嗯，直接卡住了有可能是出故障的一个信号。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"4","12-Jun-2026 10:18:11","12-Jun-2026 10:20:47","156","A003","5","4","3","1","2","4","我觉得这个加载方式给人一种惊喜的感觉。还有，呃，让人感到兴奋不会觉得味道。","黑屏转圈加载 会让人觉得很压抑，等待时间很长。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"3","12-Jun-2026 09:29:53","12-Jun-2026 09:44:04","851","A002","4","1","3","2","5","2","让我感觉流程是可控的，","黑屏加载，让我感觉对体验流程失控对时间没有感知。","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"2","12-Jun-2026 08:26:56","12-Jun-2026 09:25:44","3528","A001","5","3","2","1","4","4","郑州还是跟刚刚那个一样，就是我希望能够看到我点进那个展品，它的一个进度条，然后当时那个展台上是没有东西的，我首先按了一次一之后它才会呈现一个东西，那在那个等待过程中，嗯，碰到的几个的时候就会。被我退出去然后实际上得知那个呃实验他是要直接就是等待的所以可能有的流程就不太清晰我就觉得呃那种能看到进度条然后能看到图片然后他再慢慢的就是加载出来的那种他就是比较比较就是让人愿意","最不喜欢最不喜欢的其实是黑屏的那个，因为我觉得黑屏呢，他啥也没有，然后等着是不太愿意等，有的时候可能会就是干扰人，就是去打开它观赏的那种兴趣，可能就不喜欢点开，然后就觉得好无聊，然后。就因为时常就是觉得不可控然后就关掉它","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
