"编号","开始答题时间","结束答题时间","答题时长","1.输入您的被试编号","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E1（加载时可移动+渐进呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E2（不可移动+渐进呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E3（加载时可移动+加载完毕呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E4（加载时不可移动+加载完毕呈现）","3.如果你在真实线上虚拟展厅中浏览展品，你最希望使用哪一种加载方式？","4.为什么？（请简单说明你最希望使用该加载方式的原因）","5.请简单说明你最不喜欢的一种加载方式，以及原因。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"23","13-Jun-2026 14:54:26","13-Jun-2026 14:56:32","126","A026","1","3","2","4","1","E1: 能更快的观察展品，能看到进度条显示；","E4:不可移动减少了趣味性，看不到雕像让我不知道何时能加载完毕；","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"22","13-Jun-2026 13:15:56","13-Jun-2026 13:19:54","238","A025","1","3","2","4","1","E1：如果是特定场景渐进呈现给我可以预判的时间，毕竟是任务情景，如果能提前了解模型的位置让我觉得很好；加载时候能移动对我来说更重要；","E4： 三角锥让我感觉不是很流畅而且感觉是卡住了，也没那么真实；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"21","13-Jun-2026 12:43:09","13-Jun-2026 12:46:43","214","A024","1","3","2","4","1","E1：加载的时候可移动会有意思一点，然后进度条会告诉我加载到哪里了。","E4：看不到进度会让人比较着急，也不能移动；","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"20","13-Jun-2026 11:26:17","13-Jun-2026 11:53:31","1634","A023","1","2","3","4","1","E1：可以看到模型慢慢加载出来，也可以移动感觉会主动一些，感觉可以互动","E4：只能看到三角锥，也不知道是什么，看起来很单薄很被动；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"19","13-Jun-2026 10:49:36","13-Jun-2026 11:26:07","2191","A022","1","2","3","4","1","E1：渐进呈现整体让我更有可控感，同时有能动的话让我更有正式交互的感觉，和线下我在看展览的感觉更接近，

但是加载时可移动的这个提示比较弱，我无法知道当前是不是可以移动；","E4：因为，加载完毕呈现让我感觉加载时间特别长，我也不知道为什么要展示占位符模型（三角锥），它看起来和我最后看的模型没有关联，不能动也是因为我不知道加载时可以移动；和上一题类似；

对我来说，我更喜欢可移动这个点，只是这个流程有些模糊，让我不知道这个时候可移动","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"18","13-Jun-2026 10:15:27","13-Jun-2026 10:49:22","2035","A021","2","3","1","4","1","E1：这种最能按我自己的想法进行操作和移动，可以移动观察可以让我更好了解状况，在特定场景我更偏爱E1，我认为这是最好的呈现方式，不会再浏览过程中特别无聊，也能直观了解展品加载进度。

E3：这种最能按我自己的想法进行操作和移动，最后呈现展品会给我一种惊喜的感觉。","E4：加载的时候不能动，最后才出来，给我一种未知的感觉，也不知道该看向哪里或者干什么事情。很可能出现我不想看直接放弃的情况；","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"17","12-Jun-2026 20:55:34","12-Jun-2026 21:03:34","480","A019","2","1","3","4","1","E1， 因为对比三角锥的加载能够直观看到雕像的位置和姿态，对我完成任务有一定的帮助，移动对我来说帮助也很大

E2， 第一种加载有些太快让我没意识到在加载，第二种我不需要移动的时候也能看到任务目标，这时候对我来说移动帮助不是很大","E4， 三角形观察不了，也不能近距离观赏，只能靠直觉，有点屏蔽性（加载过程对我来说是不可理解的）；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"16","12-Jun-2026 20:23:38","12-Jun-2026 20:27:52","254","A017_2","1","2","3","4","2","如果是在线上展厅中我会希望是E2，就有一种预备的感觉，我的认知是加载完毕之后才能动，对于文物类展品，我希望是加载完毕后允许移动；
如果是其他三维场景，我会希望是E1，因为可以看到更多的其他部位的细节和进度，我理解的加载时，加载中就不应该让用户有额外操作，只要等待就行，加载在我这里=保持不动。","E4，因为太没有安全感了，不确定性强，没有掌控感，什么都做不了；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"15","12-Jun-2026 18:39:26","12-Jun-2026 18:41:47","141","A016","1","3","2","4","1","可以多角度观察细节，去了解物体","不能移动，看不到模型具体长什么样，没办法看细节","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"14","12-Jun-2026 18:07:08","12-Jun-2026 18:11:15","247","A018","1","3","2","4","1","喂喂喂，可以说这样的方式会比较有趣，可以走来走去不枯燥。视角转换比画面变化更有趣","E4很无聊，啥也干不了就站着，对比其他几个方式会让我更觉得是浪费时间，丧失继续实验的兴趣","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"13","12-Jun-2026 17:31:38","12-Jun-2026 17:35:42","244","A015","1","2","3","4","1","我最希望的是E1，因为让我感觉到他能能够在我想到的方向去发展，给我一定的好奇心，并且可以移动，让我提前预判。具有成就感。","E4，加载时间感觉太长了，一次性出来让我觉得出现的很意外，并不是我所控制的，让我失去好奇心","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"12","12-Jun-2026 16:59:56","12-Jun-2026 17:02:18","142","A014","1","2","3","4","1","可以移动自由度比较高，让人想参与；提前能大概知道雕像的样子的，可以提高参与度","E4 ， 不能动体验感很差，再一个就是三角锥模型感觉有点粗糙让人摸不着头脑；","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"11","12-Jun-2026 16:29:45","12-Jun-2026 16:31:52","127","A013","1","3","2","4","1","可移动自由度高，渐进出现让我有所期待不会很无聊。","e4，感觉像卡住了一样 完全受限，打断我的浏览心流。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"10","12-Jun-2026 15:48:12","12-Jun-2026 15:54:28","376","A012","1","3","2","4","1","（比较喜欢可移动）可移动的自由度高一些，渐进呈现的方式可以提前观察物体可知道外观，","移动自由度很低，也无法知晓物体外貌；


*7分的原因能接受是因为加载速度很快，整体体验其实都挺好所以一直很愉快，被动主动=可控=自由程度，就在第一次感觉比较慢其他时候都还好；体验的都挺满意的","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"9","12-Jun-2026 15:15:08","12-Jun-2026 15:17:46","158","A011","3","4","1","2","3","看到三角锥让我觉得很有神秘感，让我期待接下来看到的东西到底长什么样子，","E2 明明在我眼前但我无法靠近看，给我一种看得见摸不着的感觉","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"8","12-Jun-2026 14:45:25","12-Jun-2026 14:47:31","126","A009","1","2","3","4","1","这个给我感觉就是在等待的时间，我还可以看一下，转一下就是给我感觉会轻松一点。","E4 等的时间很久，而且没法做别的事情","简体中文","未清洗","","中国","广东省","广州市","","58.***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"7","12-Jun-2026 13:49:53","12-Jun-2026 13:53:09","196","A007","1","2","3","4","1","喂喂喂。好，你可以说说一下。我可以动，而且可以看到进度然后我还能看到，呃，物体的家的过程。 Health四个物体，而不是圆柱。","原因不能动，然后看不到物体然后只能看到家的进度。比较有限制，不够自由。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"6","12-Jun-2026 11:32:43","12-Jun-2026 12:10:53","2290","A006","1","3","2","4","1","喂喂喂。 OK，你说一下，呃，因为我觉得那个从模糊到。渐进的过程，然后它可以比较好的识别识别物体，然后你一开始也知道它大概是个什么样的形态，然后最后变清楚，比较符合人的直觉。然后。然后其实我没有发现它可以移动，因为我一直在看，基本上，嗯。你有尝试移动视角视角有视角那那就可以。","你说一下这个。呃，就是圆柱形的这个首先我看到就会比较蒙，就是你不知道为什么突然出来一个圆柱圆柱型，然后就对整个的也没有那个。然后如果在他家那个进度条的时候，反正我在第四个实验的时候是这么个组合，就是一个圆柱形，再加那个进度条，然后也会让我的体验。时间感觉他这个加载时间比较长然后。而且他突然变成你的那个人头也会有点奇怪。就是。圆柱形的那个？","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"5","12-Jun-2026 11:28:55","12-Jun-2026 11:31:52","177","A005","1","4","2","3","1","喂喂喂。呃，你可以直接说。就是首先我喜欢它加载的时候依旧可以移动的那种方式，因为这样的话就是，嗯，就是没有，不会受限，对不对？感觉没有受限的感觉，嗯，同时那个。渐进式的就是它那个头像从模糊的逐渐变清晰，这种方式也会更加的自然。","最不喜欢的事不可移动和渐进呈现，因为。嗯，首先是喜欢不喜欢不。里面的话就会。让我们的注意力更加的集中。在那个等待的过程中，如果是可以分的话，还可以放比较分散。静静静静权限可不可以动？呃，放在一起就会让我感觉就是更加的。交警就是想看清这个头像，跟他让我没办法进行一个嗯，如果是这个三角形的话，就那个圆椎体的话，那其实本来就看不清他其实没有。没有像鉴定权限家不可以。","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"4","12-Jun-2026 11:00:21","12-Jun-2026 11:03:04","163","A004","1","2","3","4","1","可移动不会觉得是体验卡住，加上能渐进呈现，会有心理预期，不用等到100在判断，可以与判断，也可以多角度观察","喂喂喂。哦，可以可以。嗯。是不可以移动，可看不到加载的那个，因为。可能可能就是会。没有办法预期，所以。不知道干什么会比较。困倦和无聊。","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"3","12-Jun-2026 10:30:30","12-Jun-2026 10:32:37","127","A003","1","3","2","4","1","嗯，这样觉得可操作性更强。等待时间不会那么久","不可移动+三角锥加载 可操作性弱。等待时间长。","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"2","12-Jun-2026 09:29:54","12-Jun-2026 09:53:34","1420","A002","1","3","2","4","1","这个过程会让我感觉到流程是可控制的。","啊，我最不喜欢的是加载时不可移动和渐进呈现因为这样子会让我感觉到流程是不可控制，而且我也不知道他多久之后才会呈现出来。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"1","12-Jun-2026 08:26:56","12-Jun-2026 09:23:49","3413","A001","1","3","2","4","1","我觉得那个加载当中可以移动，然后就可以让人就是有那个在等待的时间上可以可以进行操作嘛，然后就能从不同的方位看到这个展品，然后等待的时间就不会显得很枯燥，然后它就能呈现出来，就是相当于我。跟挪动等待的时间中，他的产品也被慢慢的呈现了。","最不喜欢的就是那个不可以动员的不可以呈现的那种。因为打开之后，你比如说当时有一个就是。不知道他在等待上上上上一个那个一样，然后就会找退出的按钮，用那个进度条什么的，然后那种的话就会让人觉得等待时间很长，且不知道就是我还要等待多久才可以。呃，打开这个东西。","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
